Body 0: x=-8.350072, y=1.557528, z=-6.873499
Body 1: x=3.265583, y=-6.847974, z=5.420475
Body 2: x=2.755750, y=-0.006315, z=-14.082922
Body 3: x=6.366208, y=-0.705511, z=12.318742
Body 4: x=7.360481, y=1.915619, z=8.993443
Body 5: x=0.094754, y=-12.445280, z=-3.889039
Body 6: x=0.281756, y=-14.461013, z=3.207533
Body 7: x=2.468461, y=-10.743911, z=3.931646
Body 8: x=8.654869, y=-9.855329, z=-0.977424
Body 9: x=-7.976812, y=1.901015, z=10.194686
Body 10: x=3.279741, y=-10.825729, z=-6.606781
Body 11: x=2.357717, y=-4.817832, z=0.707099
Body 12: x=0.768964, y=-9.326887, z=-9.436183
Body 13: x=-5.976401, y=-4.020205, z=3.335494
Body 14: x=-7.312224, y=2.983829, z=5.675232
Body 15: x=-13.623041, y=-1.263413, z=-3.227676
Body 16: x=1.889951, y=-6.863649, z=-5.169610
Body 17: x=-9.444164, y=-8.089959, z=4.434929
Body 18: x=-2.692416, y=4.648021, z=-7.810494
Body 19: x=7.818451, y=8.070415, z=-0.712230
Body 20: x=9.181066, y=9.111911, z=0.850555
Body 21: x=-4.649888, y=2.544847, z=-6.815221
Body 22: x=-1.368423, y=5.505126, z=9.090291
Body 23: x=6.426919, y=-4.324182, z=10.272790
Body 24: x=7.562983, y=5.300290, z=-6.046068
Body 25: x=-1.649120, y=-4.607028, z=11.239929
Body 26: x=12.097768, y=5.742126, z=0.834239
Body 27: x=6.952444, y=3.767946, z=-9.825448
Body 28: x=-9.423993, y=6.395173, z=-4.369591
Body 29: x=-1.949440, y=6.951203, z=8.325789
Body 30: x=3.847906, y=-1.472415, z=-1.977160
Body 31: x=-0.704921, y=-6.824161, z=4.645387
Body 32: x=-4.171990, y=-1.958188, z=13.505324
Body 33: x=-5.725954, y=-4.755421, z=-10.510634
Body 34: x=-3.438321, y=0.333845, z=9.265975
Body 35: x=-3.181963, y=6.580648, z=-2.977247
Body 36: x=2.864934, y=4.759592, z=11.739622
Body 37: x=-0.537523, y=-14.154502, z=3.742231
Body 38: x=0.754527, y=-1.555624, z=-13.579852
Body 39: x=1.351844, y=15.331764, z=2.842775
Body 40: x=-4.432869, y=-0.042533, z=0.571944
Body 41: x=-2.185671, y=13.574519, z=1.448671
Body 42: x=3.331830, y=8.864707, z=-2.624698
Body 43: x=-4.013643, y=5.479316, z=-10.398277
Body 44: x=-0.435461, y=10.787175, z=4.300179
Body 45: x=11.492424, y=3.041623, z=-1.594934
Body 46: x=-7.907019, y=4.768454, z=3.021462
Body 47: x=-7.282971, y=2.619966, z=7.159341
Body 48: x=-4.174377, y=-3.673433, z=9.445590
Body 49: x=-9.018739, y=-6.984794, z=-5.135324
Body 50: x=2.927411, y=-8.610357, z=-8.814629
Body 51: x=7.151420, y=3.919684, z=-8.787352
Body 52: x=0.225186, y=4.960607, z=7.910196
Body 53: x=-2.063852, y=0.251236, z=-9.669225
Body 54: x=0.222930, y=9.056905, z=8.290961
Body 55: x=-10.395323, y=-2.066581, z=-6.632936
Body 56: x=2.125205, y=-4.816659, z=-2.889040
Body 57: x=10.672439, y=-3.230426, z=2.276093
Body 58: x=0.800513, y=-13.699276, z=-1.518170
Body 59: x=0.049609, y=7.454957, z=-9.420071
Body 60: x=-0.732315, y=2.529442, z=-8.230545
Body 61: x=-4.157956, y=-2.302028, z=-14.002951
Body 62: x=1.946411, y=14.963897, z=-4.062099
Body 63: x=-6.811907, y=-3.341278, z=10.474795
Body 64: x=6.263652, y=0.394855, z=-9.511615
Body 65: x=4.255335, y=-3.389457, z=-7.624362
Body 66: x=0.741521, y=-7.110200, z=-4.251460
Body 67: x=-2.130001, y=-0.836353, z=-2.636142
Body 68: x=0.240648, y=9.487086, z=-1.584837
Body 69: x=4.144950, y=-5.973793, z=10.214394
Body 70: x=0.731663, y=6.054698, z=-8.004440
Body 71: x=4.654131, y=-8.358253, z=-3.986342
Body 72: x=-2.264681, y=-8.679959, z=4.372026
Body 73: x=9.337513, y=-3.690867, z=-5.299087
Body 74: x=4.471887, y=1.545497, z=6.807551
Body 75: x=-0.713255, y=14.997260, z=2.131096
Body 76: x=6.632077, y=-3.502227, z=-1.973554
Body 77: x=-5.461494, y=4.169832, z=-3.006679
Body 78: x=-2.694007, y=-2.987531, z=-2.432647
Body 79: x=-7.537736, y=-3.600266, z=7.207319
Body 80: x=8.064164, y=-2.600761, z=-4.671286
Body 81: x=4.870504, y=6.272360, z=-2.692664
Body 82: x=-3.270402, y=-10.413905, z=-2.876083
Body 83: x=8.063018, y=-0.400300, z=-7.468335
Body 84: x=2.916387, y=-4.594681, z=-8.878650
Body 85: x=5.599970, y=-11.619821, z=-0.915286
Body 86: x=-10.717628, y=-4.296030, z=-5.369732
Body 87: x=-10.294098, y=3.273758, z=-7.625014
