Body 0: x=-3.943316, y=0.670455, z=-3.067630
Body 1: x=1.271781, y=-3.220968, z=2.705544
Body 2: x=1.287958, y=0.024997, z=-6.610479
Body 3: x=2.892797, y=-0.189843, z=5.638872
Body 4: x=3.302632, y=0.775563, z=3.782889
Body 5: x=-0.229223, y=-5.512203, z=-0.878930
Body 6: x=0.489836, y=-6.934355, z=1.311943
Body 7: x=1.231824, y=-4.751728, z=1.636557
Body 8: x=3.851346, y=-4.579733, z=-0.594355
Body 9: x=-3.667193, y=0.706079, z=4.455903
Body 10: x=1.217229, y=-5.070992, z=-2.490783
Body 11: x=0.770510, y=-1.157292, z=0.615935
Body 12: x=0.343974, y=-4.144049, z=-4.143916
Body 13: x=-1.520829, y=1.411677, z=-2.090963
Body 14: x=-3.289606, y=1.410136, z=2.693978
Body 15: x=-6.570619, y=-0.514668, z=-1.479823
Body 16: x=0.489004, y=-2.274312, z=-2.629772
Body 17: x=-4.594831, y=-3.975062, z=1.918182
Body 18: x=-1.358285, y=2.488315, z=-3.287519
Body 19: x=3.454918, y=4.458648, z=-1.059245
Body 20: x=4.378582, y=4.511308, z=0.438788
Body 21: x=-1.852653, y=1.238038, z=-3.554137
Body 22: x=-0.447779, y=2.642130, z=4.163178
Body 23: x=2.935088, y=-2.078858, z=4.587152
Body 24: x=3.315798, y=2.349427, z=-2.728965
Body 25: x=-0.842398, y=-1.893886, z=5.111844
Body 26: x=5.542697, y=2.569475, z=0.416091
Body 27: x=2.898118, y=1.658951, z=-4.290009
Body 28: x=-4.234271, y=2.733390, z=-1.749374
Body 29: x=-0.777331, y=3.066771, z=3.699134
Body 30: x=1.659948, y=-0.784977, z=-0.853673
Body 31: x=-0.323169, y=-3.234970, z=2.084439
Body 32: x=-1.973406, y=-0.643643, z=6.456307
Body 33: x=-2.658867, y=-2.350091, z=-4.679499
Body 34: x=-1.363214, y=0.388230, z=4.180538
Body 35: x=-1.297002, y=2.889917, z=-1.575847
Body 36: x=1.104358, y=1.923026, z=5.620471
Body 37: x=-0.322201, y=-6.839677, z=1.896769
Body 38: x=0.405549, y=-0.604957, z=-6.640474
Body 39: x=0.541974, y=7.008026, z=1.385526
Body 40: x=-2.118692, y=-0.063553, z=0.233673
Body 41: x=-1.073153, y=6.203570, z=0.409819
Body 42: x=1.365286, y=4.096273, z=-1.490202
Body 43: x=-1.938856, y=2.079002, z=-4.880893
Body 44: x=-0.179714, y=4.558355, z=1.806560
Body 45: x=5.491893, y=1.380758, z=-0.587903
Body 46: x=-3.549187, y=1.942583, z=1.524794
Body 47: x=-3.273989, y=1.006653, z=3.086277
Body 48: x=-2.501938, y=-1.719340, z=4.347829
Body 49: x=-4.094187, y=-3.047574, z=-2.365593
Body 50: x=1.123574, y=-4.000141, z=-3.760253
Body 51: x=3.345680, y=1.846344, z=-4.055040
Body 52: x=-0.075588, y=2.171078, z=3.855901
Body 53: x=-0.711487, y=0.150975, z=-4.340620
Body 54: x=0.280919, y=4.167222, z=3.724247
Body 55: x=-5.026392, y=-1.019645, z=-2.834347
