Body 0: x=0.686344, y=-0.203001, z=0.560149
Body 1: x=-0.328475, y=0.536007, z=-0.441873
Body 2: x=-0.262107, y=0.029516, z=0.908805
Body 3: x=-0.721937, y=0.206682, z=-0.961315
Body 4: x=-0.694466, y=-0.188133, z=-0.746054
Body 5: x=0.021785, y=0.680975, z=0.225765
Body 6: x=-0.007407, y=0.946085, z=-0.409568
Body 7: x=-0.202494, y=0.789213, z=-0.424990
Body 8: x=-0.868768, y=0.892498, z=0.055255
Body 9: x=0.770866, y=-0.303060, z=-0.880395
Body 10: x=-0.516422, y=0.936602, z=0.805211
Body 11: x=-0.246232, y=0.521130, z=0.015856
Body 12: x=-0.120306, y=0.859356, z=0.866390
Body 13: x=0.273277, y=-0.293101, z=0.383324
Body 14: x=0.666270, y=-0.342319, z=-0.538330
Body 15: x=0.920110, y=0.176072, z=0.323087
Body 16: x=-0.194907, y=0.629184, z=0.362754
Body 17: x=0.908126, y=0.843078, z=-0.706041
Body 18: x=0.235342, y=-0.438940, z=0.566526
Body 19: x=-0.626604, y=-0.454138, z=0.121024
Body 20: x=-0.788448, y=-0.738154, z=-0.000412
Body 21: x=0.366263, y=-0.237740, z=0.494187
Body 22: x=0.173620, y=-0.518665, z=-0.689351
Body 23: x=-0.662794, y=0.481193, z=-0.850509
Body 24: x=-0.642926, y=-0.516744, z=0.604944
Body 25: x=0.271615, y=0.519874, z=-0.821474
Body 26: x=-0.853794, y=-0.589223, z=-0.072047
Body 27: x=-0.902036, y=-0.676587, z=0.992496
Body 28: x=0.987045, y=-0.901802, z=0.749541
Body 29: x=0.185618, y=-0.630995, z=-0.667343
Body 30: x=-0.282758, y=0.108718, z=0.150853
Body 31: x=0.071461, y=0.516127, z=-0.383857
Body 32: x=0.500575, y=0.264485, z=-0.920651
Body 33: x=0.751419, y=0.670142, z=0.968540
Body 34: x=0.340361, y=0.002296, z=-0.680524
Body 35: x=0.293997, y=-0.499899, z=0.255297
Body 36: x=-0.339784, y=-0.542671, z=-0.848655
Body 37: x=0.022294, y=0.947317, z=-0.447650
Body 38: x=-0.058015, y=0.181807, z=0.895590
Body 39: x=-0.129004, y=-0.986872, z=-0.315436
Body 40: x=0.347051, y=-0.029858, z=-0.042477
Body 41: x=0.247565, y=-0.914793, z=-0.169280
Body 42: x=-0.303225, y=-0.626140, z=0.214779
Body 43: x=0.484572, y=-0.592512, z=0.836974
Body 44: x=0.072430, y=-0.820990, z=-0.487131
Body 45: x=-0.775585, y=-0.273467, z=0.149157
Body 46: x=0.545330, y=-0.413554, z=-0.350644
Body 47: x=0.653512, y=-0.327869, z=-0.615219
Body 48: x=0.533459, y=0.395827, z=-0.752228
Body 49: x=0.880174, y=0.838419, z=0.724795
Body 50: x=-0.397944, y=0.809828, z=0.820810
Body 51: x=-0.674639, y=-0.452904, z=0.736137
Body 52: x=-0.004362, y=-0.413342, z=-0.646376
Body 53: x=0.210703, y=-0.021592, z=0.670706
Body 54: x=-0.005740, y=-0.760986, z=-0.714885
Body 55: x=0.823332, y=0.244112, z=0.670355
Body 56: x=-0.216168, y=0.310687, z=0.209217
Body 57: x=-0.788538, y=0.291042, z=-0.280980
Body 58: x=-0.150035, y=0.872164, z=0.172376
Body 59: x=-0.022633, y=-0.685102, z=0.760230
Body 60: x=0.113009, y=-0.152715, z=0.656398
Body 61: x=0.455485, y=0.285260, z=0.962411
Body 62: x=-0.172936, y=-0.993309, z=0.558857
Body 63: x=0.730052, y=0.451741, z=-0.897517
Body 64: x=-0.586356, y=-0.060221, z=0.728020
Body 65: x=-0.403840, y=0.305270, z=0.609259
Body 66: x=-0.085718, y=0.554119, z=0.385946
Body 67: x=0.154508, y=0.055884, z=0.197865
Body 68: x=-0.046316, y=-0.657981, z=0.221382
Body 69: x=-0.540711, y=0.668091, z=-0.866427
Body 70: x=-0.040717, y=-0.551874, z=0.661104
Body 71: x=-0.320772, y=0.624967, z=0.323857
Body 72: x=0.246348, y=0.666168, z=-0.381438
Body 73: x=-0.776145, y=0.343218, z=0.562548
Body 74: x=-0.370969, y=-0.131326, z=-0.544914
Body 75: x=0.108439, y=-0.974733, z=-0.234823
Body 76: x=-0.470718, y=0.303038, z=0.110828
Body 77: x=0.385816, y=-0.375440, z=0.298656
Body 78: x=0.234908, y=0.282628, z=0.041407
Body 79: x=0.594451, y=0.346896, z=-0.690534
Body 80: x=-0.623411, y=0.227939, z=0.390716
Body 81: x=-0.382371, y=-0.483236, z=0.307563
Body 82: x=0.330946, y=0.765719, z=0.300335
Body 83: x=-0.682209, y=0.015005, z=0.651737
Body 84: x=-0.210009, y=0.416913, z=0.746498
Body 85: x=-0.525094, y=0.853040, z=0.103937
Body 86: x=0.880148, y=0.602435, z=0.638183
Body 87: x=0.873487, y=-0.348162, z=0.753805
Body 88: x=0.552930, y=0.589232, z=-0.481092
Body 89: x=0.594269, y=0.728421, z=0.748282
Body 90: x=0.186765, y=0.292783, z=0.067772
Body 91: x=0.402122, y=0.028554, z=0.665014
Body 92: x=0.018391, y=-0.900248, z=0.627745
Body 93: x=-0.713901, y=-0.183495, z=-0.501583
Body 94: x=0.146377, y=0.625441, z=0.175268
Body 95: x=-0.880608, y=-0.857027, z=0.275928
Body 96: x=0.259743, y=0.845797, z=0.482889
Body 97: x=0.910665, y=0.894493, z=0.798907
Body 98: x=-0.562405, y=-0.037211, z=0.908986
Body 99: x=-0.627140, y=-0.075826, z=0.555600
Body 100: x=0.521272, y=0.928225, z=-0.335219
Body 101: x=0.241535, y=-0.614867, z=-0.035748
Body 102: x=-0.586421, y=0.210555, z=0.724847
Body 103: x=0.294967, y=0.176561, z=0.354325
Body 104: x=0.124112, y=-0.524567, z=-0.953705
Body 105: x=0.211519, y=0.534833, z=0.773354
Body 106: x=-0.015245, y=0.583569, z=0.273876
Body 107: x=0.769361, y=-0.268428, z=0.794322
Body 108: x=0.895745, y=-0.750975, z=0.739849
Body 109: x=-0.637808, y=-0.432910, z=-0.672145
Body 110: x=-0.756384, y=-0.551680, z=0.886249
Body 111: x=-0.084287, y=0.299375, z=0.821852
Body 112: x=-0.216644, y=-0.012257, z=-0.118582
Body 113: x=0.130966, y=-0.612303, z=-0.925500
Body 114: x=-0.286763, y=0.989959, z=-0.925431
Body 115: x=0.402509, y=-0.347938, z=0.769690
Body 116: x=0.537041, y=0.614744, z=0.393685
Body 117: x=0.498739, y=-0.402311, z=0.609810
Body 118: x=-0.804368, y=-0.683667, z=-0.520542
Body 119: x=0.787611, y=0.890384, z=-0.892816
Body 120: x=0.173550, y=-0.656015, z=0.177692
Body 121: x=0.047550, y=0.159784, z=0.461467
Body 122: x=0.073301, y=-0.972585, z=0.863489
Body 123: x=-0.195127, y=-0.386797, z=0.355188
Body 124: x=0.411557, y=-0.339054, z=-0.567281
Body 125: x=-0.965630, y=0.686675, z=0.708182
Body 126: x=0.048785, y=0.687465, z=-0.499292
Body 127: x=0.786052, y=0.232001, z=0.066800
Body 128: x=-0.321604, y=-0.290014, z=-0.912424
Body 129: x=-0.414081, y=0.415874, z=0.631858
Body 130: x=-0.627165, y=-0.041015, z=0.841659
Body 131: x=0.431941, y=0.229832, z=-0.820961
Body 132: x=-0.057966, y=0.516136, z=0.559739
Body 133: x=0.493207, y=0.854073, z=-0.815162
Body 134: x=-0.458306, y=-0.516424, z=0.615030
Body 135: x=-0.661465, y=0.885050, z=0.528629
Body 136: x=-0.318233, y=0.388007, z=-0.090492
Body 137: x=0.198544, y=-0.747309, z=-0.834272
Body 138: x=-0.776865, y=0.764733, z=0.165477
Body 139: x=-0.382871, y=0.877209, z=0.536710
Body 140: x=-0.208197, y=-0.580704, z=-0.096025
Body 141: x=-0.989891, y=0.291257, z=-0.741951
Body 142: x=0.579209, y=0.360607, z=0.811397
Body 143: x=0.046340, y=-0.647974, z=0.857655
Body 144: x=0.274951, y=0.407128, z=0.080380
Body 145: x=0.840586, y=-0.558911, z=0.570437
Body 146: x=0.624602, y=-0.218369, z=0.501184
Body 147: x=0.431356, y=0.270456, z=0.033853
Body 148: x=0.345676, y=-0.948268, z=0.504770
Body 149: x=-0.603498, y=0.548501, z=0.691897
Body 150: x=-0.381976, y=-0.789252, z=0.772272
Body 151: x=-0.591612, y=-0.430089, z=0.315424
Body 152: x=0.552817, y=0.873919, z=-0.712872
Body 153: x=0.749415, y=-0.527653, z=0.354252
Body 154: x=0.548954, y=-0.937820, z=0.186303
Body 155: x=-0.437967, y=-0.852913, z=0.757213
Body 156: x=-0.121901, y=-0.246065, z=0.302433
Body 157: x=0.220195, y=-0.793676, z=0.608914
Body 158: x=-0.220158, y=-0.447590, z=0.197933
Body 159: x=0.761896, y=0.345548, z=-0.084208
Body 160: x=-0.515336, y=0.158431, z=-0.398059
Body 161: x=-0.035601, y=-0.619165, z=0.711424
Body 162: x=-0.988172, y=0.804553, z=-0.418746
Body 163: x=-0.643673, y=-0.918282, z=0.926658
Body 164: x=-0.582128, y=0.987709, z=0.078800
Body 165: x=0.778517, y=0.430572, z=-0.196371
Body 166: x=0.347947, y=-0.353152, z=-0.302800
Body 167: x=0.424300, y=-0.084491, z=0.076112
Body 168: x=0.389802, y=-0.117422, z=-0.530294
Body 169: x=0.019713, y=-0.155290, z=-0.306773
Body 170: x=0.753711, y=0.966890, z=0.039707
Body 171: x=-0.116295, y=0.705295, z=0.359003
Body 172: x=-0.137537, y=-0.801035, z=0.208193
Body 173: x=-0.683438, y=0.604321, z=-0.372979
Body 174: x=0.481787, y=0.930494, z=0.908568
Body 175: x=0.794149, y=0.792718, z=-0.926169
Body 176: x=0.556011, y=0.243762, z=-0.853526
Body 177: x=0.197698, y=0.677130, z=0.130105
Body 178: x=-0.859666, y=0.922267, z=-0.041055
Body 179: x=0.841214, y=-0.799677, z=0.810221
Body 180: x=0.866723, y=-0.820514, z=0.631946
Body 181: x=-0.628266, y=-0.420648, z=0.245766
Body 182: x=0.439348, y=-0.297935, z=0.747562
Body 183: x=0.914076, y=0.238291, z=0.285533
Body 184: x=-0.277253, y=0.856860, z=-0.805609
Body 185: x=-0.637804, y=0.463365, z=-0.230786
Body 186: x=-0.973855, y=0.765653, z=-0.638092
Body 187: x=0.352343, y=0.733209, z=-0.441660
Body 188: x=-0.546828, y=-0.773262, z=-0.095413
Body 189: x=0.722774, y=0.812507, z=-0.232908
Body 190: x=-0.503107, y=-0.282329, z=0.837099
Body 191: x=0.038663, y=-0.252042, z=0.006672
Body 192: x=0.246847, y=0.382212, z=0.043743
Body 193: x=0.441484, y=-0.074711, z=0.573143
Body 194: x=0.266304, y=-0.643232, z=-0.514591
Body 195: x=-0.582869, y=-0.239174, z=0.548554
Body 196: x=0.485249, y=0.055597, z=0.048326
Body 197: x=0.792454, y=0.693015, z=-0.529593
Body 198: x=-0.807398, y=-0.070314, z=0.877814
Body 199: x=-0.571353, y=-0.447939, z=-0.101424
Body 200: x=0.754939, y=0.032588, z=0.953336
Body 201: x=0.593861, y=-0.217934, z=0.035867
Body 202: x=0.720381, y=0.076441, z=0.165051
Body 203: x=0.153313, y=-0.904760, z=0.572940
Body 204: x=0.562936, y=-0.720368, z=0.400757
Body 205: x=0.644022, y=-0.061373, z=0.038803
Body 206: x=0.547627, y=0.845981, z=0.107687
Body 207: x=-0.934469, y=-0.781451, z=0.458115
Body 208: x=0.883835, y=0.572650, z=0.445993
Body 209: x=-0.684528, y=-0.823287, z=0.566610
Body 210: x=0.732444, y=-0.707753, z=0.718925
Body 211: x=0.106867, y=0.407232, z=0.807027
Body 212: x=-0.393773, y=-0.933743, z=-0.466256
Body 213: x=0.425095, y=0.170675, z=-0.464269
Body 214: x=-0.831934, y=-0.067078, z=0.336222
Body 215: x=-0.515026, y=-0.608405, z=-0.753305
Body 216: x=-0.825055, y=-0.720292, z=0.543531
Body 217: x=-0.712833, y=0.130489, z=0.600516
Body 218: x=0.773992, y=-0.370074, z=-0.931970
Body 219: x=0.459232, y=0.659079, z=0.628402
Body 220: x=-0.240099, y=0.868728, z=-0.310852
Body 221: x=0.132895, y=-0.762428, z=-0.868302
Body 222: x=-0.779315, y=-0.483289, z=0.776449
Body 223: x=-0.291445, y=0.121614, z=0.601206
Body 224: x=0.482065, y=-0.099432, z=-0.258702
Body 225: x=0.398019, y=-0.554077, z=-0.996219
Body 226: x=0.929156, y=-0.404586, z=-0.666019
Body 227: x=-0.283187, y=0.482525, z=0.070236
Body 228: x=0.474542, y=-0.997720, z=0.529472
Body 229: x=-0.832032, y=-0.729070, z=0.861376
Body 230: x=0.054319, y=-0.210584, z=0.983321
Body 231: x=0.164509, y=-0.184261, z=-0.968746
Body 232: x=-0.937984, y=0.603405, z=-0.234381
Body 233: x=0.550110, y=0.581210, z=-0.928376
Body 234: x=-0.949610, y=-0.165074, z=0.121420
Body 235: x=0.439165, y=-0.191489, z=0.292233
Body 236: x=-0.151674, y=0.021121, z=0.004555
Body 237: x=-0.827326, y=-0.408373, z=0.504553
Body 238: x=0.017636, y=0.263989, z=0.202430
Body 239: x=0.949751, y=-0.616039, z=-0.325686
Body 240: x=0.583988, y=0.724892, z=0.227016
Body 241: x=0.055038, y=0.985704, z=-0.885252
Body 242: x=0.950741, y=0.047958, z=0.225985
Body 243: x=0.046514, y=-0.006113, z=-0.786148
Body 244: x=-0.901668, y=-0.957102, z=-0.038616
Body 245: x=0.201151, y=-0.291943, z=-0.037996
Body 246: x=0.531794, y=-0.350683, z=-0.904913
Body 247: x=-0.709100, y=-0.350349, z=1.008329
Body 248: x=-0.543251, y=0.161458, z=-0.011533
Body 249: x=0.238024, y=0.498735, z=0.114513
Body 250: x=0.446521, y=0.502532, z=-0.063361
