Body 0: x=-8.350085, y=1.557531, z=-6.873525
Body 1: x=3.265558, y=-6.847976, z=5.420470
Body 2: x=2.755717, y=-0.006315, z=-14.082989
Body 3: x=6.366334, y=-0.705514, z=12.318801
Body 4: x=7.360595, y=1.915622, z=8.993328
Body 5: x=0.094747, y=-12.445236, z=-3.889045
Body 6: x=0.281754, y=-14.460970, z=3.207546
Body 7: x=2.468479, y=-10.744034, z=3.931663
Body 8: x=8.654896, y=-9.855375, z=-0.977442
Body 9: x=-7.976841, y=1.901017, z=10.194728
Body 10: x=3.279685, y=-10.825684, z=-6.606798
Body 11: x=2.357674, y=-4.817767, z=0.707094
Body 12: x=0.768971, y=-9.326990, z=-9.436291
Body 13: x=-5.976466, y=-4.020160, z=3.335488
Body 14: x=-7.312174, y=2.983800, z=5.675362
Body 15: x=-13.622918, y=-1.263409, z=-3.227657
Body 16: x=1.889951, y=-6.863618, z=-5.169551
Body 17: x=-9.444278, y=-8.090168, z=4.435004
Body 18: x=-2.692422, y=4.648014, z=-7.810411
Body 19: x=7.818511, y=8.070370, z=-0.712216
Body 20: x=9.181074, y=9.111963, z=0.850554
Body 21: x=-4.649882, y=2.544858, z=-6.815236
Body 22: x=-1.368416, y=5.505101, z=9.090376
Body 23: x=6.426841, y=-4.324216, z=10.272749
Body 24: x=7.562916, y=5.300314, z=-6.046078
Body 25: x=-1.649132, y=-4.607051, z=11.239931
Body 26: x=12.097690, y=5.742053, z=0.834235
Body 27: x=6.952458, y=3.767993, z=-9.825413
Body 28: x=-9.423873, y=6.395145, z=-4.369531
Body 29: x=-1.949439, y=6.951186, z=8.325888
Body 30: x=3.847858, y=-1.472427, z=-1.977168
Body 31: x=-0.704914, y=-6.824224, z=4.645363
Body 32: x=-4.171993, y=-1.958225, z=13.505373
Body 33: x=-5.725904, y=-4.755475, z=-10.510750
Body 34: x=-3.438348, y=0.333839, z=9.265970
Body 35: x=-3.181991, y=6.580666, z=-2.977288
Body 36: x=2.864928, y=4.759638, z=11.739627
Body 37: x=-0.537519, y=-14.154551, z=3.742185
Body 38: x=0.754520, y=-1.555627, z=-13.579906
Body 39: x=1.351843, y=15.331582, z=2.842743
Body 40: x=-4.432884, y=-0.042532, z=0.571946
Body 41: x=-2.185654, y=13.574603, z=1.448677
Body 42: x=3.331802, y=8.864746, z=-2.624689
