Body 0: x=-3.943299, y=0.670454, z=-3.067653
Body 1: x=1.271788, y=-3.220934, z=2.705544
Body 2: x=1.287970, y=0.024998, z=-6.610465
Body 3: x=2.892772, y=-0.189849, z=5.638891
Body 4: x=3.302604, y=0.775564, z=3.782911
Body 5: x=-0.229224, y=-5.512203, z=-0.878949
Body 6: x=0.489838, y=-6.934291, z=1.311935
Body 7: x=1.231813, y=-4.751760, z=1.636554
Body 8: x=3.851319, y=-4.579691, z=-0.594350
Body 9: x=-3.667197, y=0.706077, z=4.455899
Body 10: x=1.217233, y=-5.071000, z=-2.490783
Body 11: x=0.770509, y=-1.157300, z=0.615936
Body 12: x=0.343974, y=-4.144073, z=-4.143919
Body 13: x=-1.520841, y=1.411684, z=-2.090980
Body 14: x=-3.289590, y=1.410141, z=2.693992
Body 15: x=-6.570627, y=-0.514664, z=-1.479821
Body 16: x=0.489004, y=-2.274326, z=-2.629777
Body 17: x=-4.594806, y=-3.975032, z=1.918159
Body 18: x=-1.358274, y=2.488323, z=-3.287517
Body 19: x=3.454942, y=4.458659, z=-1.059243
Body 20: x=4.378617, y=4.511349, z=0.438790
Body 21: x=-1.852626, y=1.238029, z=-3.554183
Body 22: x=-0.447785, y=2.642137, z=4.163141
Body 23: x=2.935098, y=-2.078858, z=4.587198
Body 24: x=3.315823, y=2.349432, z=-2.728971
Body 25: x=-0.842397, y=-1.893868, z=5.111839
Body 26: x=5.542639, y=2.569474, z=0.416094
Body 27: x=2.898109, y=1.658932, z=-4.290044
Body 28: x=-4.234273, y=2.733387, z=-1.749375
Body 29: x=-0.777328, y=3.066792, z=3.699084
Body 30: x=1.659950, y=-0.784977, z=-0.853670
Body 31: x=-0.323170, y=-3.234940, z=2.084440
Body 32: x=-1.973413, y=-0.643649, z=6.456299
Body 33: x=-2.658878, y=-2.350088, z=-4.679489
Body 34: x=-1.363214, y=0.388231, z=4.180576
Body 35: x=-1.296999, y=2.889917, z=-1.575832
Body 36: x=1.104358, y=1.923016, z=5.620491
Body 37: x=-0.322200, y=-6.839725, z=1.896790
Body 38: x=0.405557, y=-0.604954, z=-6.640538
Body 39: x=0.541973, y=7.008114, z=1.385534
Body 40: x=-2.118679, y=-0.063553, z=0.233672
Body 41: x=-1.073160, y=6.203558, z=0.409818
Body 42: x=1.365280, y=4.096208, z=-1.490224
Body 43: x=-1.938849, y=2.078993, z=-4.880900
Body 44: x=-0.179713, y=4.558334, z=1.806539
Body 45: x=5.491885, y=1.380760, z=-0.587899
Body 46: x=-3.549193, y=1.942590, z=1.524785
Body 47: x=-3.274000, y=1.006657, z=3.086259
Body 48: x=-2.501938, y=-1.719338, z=4.347849
Body 49: x=-4.094179, y=-3.047550, z=-2.365584
Body 50: x=1.123578, y=-4.000107, z=-3.760226
Body 51: x=3.345747, y=1.846335, z=-4.055089
Body 52: x=-0.075588, y=2.171086, z=3.855876
Body 53: x=-0.711482, y=0.150977, z=-4.340592
Body 54: x=0.280919, y=4.167256, z=3.724249
Body 55: x=-5.026401, y=-1.019651, z=-2.834349
Body 56: x=1.029982, y=-2.194386, z=-1.720302
Body 57: x=4.918297, y=-1.539445, z=0.856569
Body 58: x=0.425717, y=-6.303973, z=-0.555429
Body 59: x=-0.053915, y=3.132870, z=-4.340387
Body 60: x=-0.339610, y=0.912543, z=-4.445309
Body 61: x=-1.814234, y=-0.948389, z=-6.390898
Body 62: x=1.247231, y=7.457593, z=-1.458636
Body 63: x=-3.034803, y=-1.481958, z=4.641595
Body 64: x=2.904400, y=0.180307, z=-4.560453
Body 65: x=2.063064, y=-1.508123, z=-3.460204
Body 66: x=0.395613, y=-3.277079, z=-1.922124
Body 67: x=-1.005658, y=-0.144149, z=-1.203947
Body 68: x=-0.188366, y=4.470148, z=-0.500377
Body 69: x=1.793586, y=-2.671052, z=4.662250
Body 70: x=0.408878, y=2.792545, z=-3.446315
Body 71: x=1.671900, y=-4.101913, z=-1.651913
Body 72: x=-1.330802, y=-3.944824, z=1.885638
Body 73: x=4.321988, y=-1.414964, z=-2.271624
Body 74: x=1.960953, y=0.617864, z=3.168623
Body 75: x=-0.235277, y=7.278934, z=0.851063
Body 76: x=2.824237, y=-1.442467, z=-0.406177
Body 77: x=-2.731248, y=1.504619, z=-1.509053
Body 78: x=-1.354303, y=-1.707026, z=-0.513348
Body 79: x=-3.549556, y=-1.811263, z=2.389323
Body 80: x=3.789081, y=-1.070227, z=-2.139939
Body 81: x=2.029339, y=2.802489, z=-1.030107
Body 82: x=-1.500005, y=-4.693959, z=-1.325987
Body 83: x=3.711920, y=-0.360503, z=-3.436785
Body 84: x=1.197950, y=-1.755260, z=-5.110690
Body 85: x=2.406176, y=-5.586647, z=-0.478512
Body 86: x=-4.708077, y=-1.828188, z=-2.443657
Body 87: x=-4.592782, y=1.761327, z=-3.509692
Body 88: x=-2.769016, y=-3.142241, z=2.069696
Body 89: x=-2.604948, y=-3.116742, z=-3.667960
Body 90: x=-2.960483, y=-0.909534, z=2.212259
Body 91: x=-2.072327, y=-0.043657, z=-3.900903
Body 92: x=-4.262886, y=3.772583, z=-1.639533
Body 93: x=4.468702, y=0.786247, z=2.406857
Body 94: x=-0.861308, y=-3.888808, z=-1.038500
Body 95: x=4.152216, y=3.975230, z=-0.736091
Body 96: x=-0.969270, y=-5.296846, z=-1.900343
Body 97: x=-2.835310, y=-2.916316, z=-2.770984
Body 98: x=2.744169, y=0.276180, z=-5.681003
Body 99: x=4.643853, y=-0.629310, z=-3.233563
Body 100: x=-2.103429, y=-5.431402, z=1.737312
Body 101: x=-1.699594, y=4.816387, z=0.558493
Body 102: x=2.446462, y=-0.953925, z=-4.210090
Body 103: x=-1.673713, y=-0.366748, z=-1.981035
